;Data da Venda;Nome do Produto;Nome da Loja;Quantidade Vendida;ID Loja
237454;2017-04-07;Proseware Projector 480p DLP12 Black;Loja Contoso Austin ;10;86
238262;2017-04-07;SV Keyboard E10 Black;Loja Contoso Austin ;5;86
238535;2017-04-07;Contoso Expandable 4-Handset Cordless Phone System M206 White;Loja Contoso Austin ;10;86
238573;2017-04-07;The Phone Company PDA Handheld 3.5 inch M610 Silver;Loja Contoso Austin ;10;86
238577;2017-04-07;SV 16xDVD M330 Black;Loja Contoso Austin ;10;86
238839;2017-04-07;Proseware Laptop16 M610 White;Loja Contoso Austin ;10;86
238976;2017-04-08;WWI LCD17W E200 White;Loja Contoso Austin ;5;86
239069;2017-04-08;Contoso DVD 55DVD Storage Binder M56 Black;Loja Contoso Austin ;10;86
239756;2017-04-08;Adventure Works Desktop PC1.80 ED180 Silver;Loja Contoso Austin ;30;86
240370;2017-04-08;A. Datum Bridge Digital Camera M300 Green;Loja Contoso Austin ;10;86
240418;2017-04-08;Contoso 2-Line Speakerphone M109 Grey;Loja Contoso Austin ;10;86
240469;2017-04-08;Proseware Projector 480p DLP12 Silver;Loja Contoso Austin ;10;86
241286;2017-04-08;Fabrikam Social Videographer 1/2'' 3mm E300 Grey;Loja Contoso Austin ;5;86
241803;2017-04-08;Contoso Expandable Cordless Phone System M008 Black;Loja Contoso Austin ;10;86
242176;2017-04-09;"The Phone Company Touch Screen Phones 26-1.4"" M250 Black";Loja Contoso Austin ;10;86
242855;2017-04-09;WWI CRT17 E106 Black;Loja Contoso Austin ;5;86
242881;2017-04-09;Contoso DVD 38 DVD Storage Binder E25 Silver;Loja Contoso Austin ;5;86
244213;2017-04-09;A. Datum Compact Digital Camera M200 Pink;Loja Contoso Austin ;5;86
244791;2017-04-09;"A. Datum SLR Camera 35"" X358 Silver Grey";Loja Contoso Austin ;10;86
244804;2017-04-09;A. Datum Advanced Digital Camera M300 Grey;Loja Contoso Austin ;10;86
244844;2017-04-09;The Phone Company Touch Screen Phones Infrared M901 Gold;Loja Contoso Austin ;10;86
244867;2017-04-09;Proseware Wireless Photo All-in-One Printer M390 White;Loja Contoso Austin ;10;86
245195;2017-04-10;The Phone Company PDA Phone 3.5 inches M320 White;Loja Contoso Austin ;10;86
245955;2017-04-10;Contoso Dual Handset Cordless Phone System E20 White;Loja Contoso Austin ;5;86
245992;2017-04-10;A. Datum Slim Digital Camera M180 Silver;Loja Contoso Austin ;5;86
246051;2017-04-10;SV 40GB USB2.0 Portable Hard Disk E400 Yellow;Loja Contoso Austin ;5;86
246076;2017-04-10;Contoso Power Inverter - DC to AC power inverter E900 Black;Loja Contoso Austin ;5;86
246272;2017-04-10;Proseware 23ppm Laser Printer with Wireless and Wired Network Interfaces M680 Grey;Loja Contoso Austin ;10;86
246436;2017-04-10;Contoso DVD 15-Inch Player Portable L200 White;Loja Contoso Austin ;10;86
247880;2017-04-10;The Phone Company Smart phones Unlocked International M800 Pink;Loja Contoso Austin ;10;86
247958;2017-04-10;Contoso Projector 480p M481 White;Loja Contoso Austin ;10;86
248130;2017-04-11;Contoso Carrying Case E312 Silver;Loja Contoso Austin ;5;86
248133;2017-04-11;Contoso Phone with Memory Dialing-single line E88 Black;Loja Contoso Austin ;5;86
248226;2017-04-11;"A. Datum SLR Camera 35"" X358 Silver Grey";Loja Contoso Austin ;10;86
249035;2017-04-11;A. Datum Slim Digital Camera M180 Grey;Loja Contoso Austin ;5;86
249412;2017-04-11;The Phone Company Touch Screen Phones SAW/On-wall M806 Grey;Loja Contoso Austin ;10;86
249570;2017-04-11;The Phone Company Smart phones Expert M400 Pink;Loja Contoso Austin ;10;86
249600;2017-04-11;Proseware Projector 720p DLP56 Black;Loja Contoso Austin ;10;86
250764;2017-04-11;Fabrikam Budget Movie-Maker 2/3'' 17mm E100 Black;Loja Contoso Austin ;10;86
250782;2017-04-11;Contoso Touch Screen Phones SAW/On-wall M806 Black;Loja Contoso Austin ;10;86
250985;2017-04-11;A. Datum All in One Digital Camera M200 Pink;Loja Contoso Austin ;10;86
251077;2017-04-12;SV 512MB Laptop memory E800 Yellow;Loja Contoso Austin ;5;86
252369;2017-04-12;WWI 2GB Pulse Smart pen M100 Black;Loja Contoso Austin ;10;86
252695;2017-04-12;Contoso Lifestyles Series - Big Button Cordless phone M800 White;Loja Contoso Austin ;10;86
252726;2017-04-12;Proseware LCD17 E200 White;Loja Contoso Austin ;5;86
252752;2017-04-12;SV Car Video TFT6.2W E6281 Brown;Loja Contoso Austin ;5;86
253712;2017-04-12;Fabrikam SLR Camera X147 Grey;Loja Contoso Austin ;10;86
253807;2017-04-12;Fabrikam Laptop17 M7000 Black;Loja Contoso Austin ;10;86
254315;2017-04-13;Contoso Projector 480p M480 White;Loja Contoso Austin ;10;86
255007;2017-04-13;WWI LCD17 E205 White;Loja Contoso Austin ;5;86
255049;2017-04-13;WWI Screen 100in M1609 White;Loja Contoso Austin ;5;86
255067;2017-04-13;Contoso Home Theater System 2.1 Channel E1200 White;Loja Contoso Austin ;5;86
255370;2017-04-13;Fabrikam Budget Movie-Maker 2/3'' 17mm E100 Black;Loja Contoso Austin ;10;86
255465;2017-04-13;Proseware Scan Jet Digital Flat Bed Scanner M300 Black;Loja Contoso Austin ;10;86
255600;2017-04-13;Contoso Projector 1080p X980 Black;Loja Contoso Austin ;10;86
255688;2017-04-13;A. Datum Super-zoom Digital Camera X300 Pink;Loja Contoso Austin ;10;86
256757;2017-04-13;Fabrikam Budget Moviemaker 1'' 25mm E400 Grey;Loja Contoso Austin ;10;86
256878;2017-04-13;A. Datum Bridge Digital Camera M300 Green;Loja Contoso Austin ;10;86
256891;2017-04-13;SV DVD 12-Inch Player Portable M400 White;Loja Contoso Austin ;10;86
257004;2017-04-13;Proseware Laser Jet All in one X300 Black;Loja Contoso Austin ;10;86
257204;2017-04-14;SV Keyboard E10 Black;Loja Contoso Austin ;5;86
257994;2017-04-14;WWI LCD17 E200 Black;Loja Contoso Austin ;5;86
258183;2017-04-14;Contoso USB Data Link - direct connect adapter E600 White;Loja Contoso Austin ;5;86
259711;2017-04-14;Fabrikam SLR Camera X147 Silver;Loja Contoso Austin ;10;86
259733;2017-04-14;Fabrikam Budget Moviemaker 1/2'' 3mm E300 White;Loja Contoso Austin ;10;86
259904;2017-04-14;SV DVD 12-Inch Player Portable M400 White;Loja Contoso Austin ;10;86
261163;2017-04-15;SV 512MB Laptop memory E800 Silver;Loja Contoso Austin ;5;86
261787;2017-04-15;Contoso Waterproof Accessory Handset and Charging Cradle M609 Black;Loja Contoso Austin ;10;86
261798;2017-04-15;Contoso DVD 12-Inch Player Portable M400 Black;Loja Contoso Austin ;10;86
261865;2017-04-15;SV 80GB USB2.0 Portable Hard Disk E500 Blue;Loja Contoso Austin ;5;86
261876;2017-04-15;Contoso Mouse Lock Bundle E200 Black;Loja Contoso Austin ;5;86
262821;2017-04-15;Contoso Digital camera accessory kit M200 Black;Loja Contoso Austin ;10;86
263097;2017-04-15;Contoso Projector 480p M481 Black;Loja Contoso Austin ;10;86
264181;2017-04-16;SV Keyboard E90 Silver;Loja Contoso Austin ;5;86
264637;2017-04-16;Contoso DVD 9-Inch Player Portable M300 Silver;Loja Contoso Austin ;10;86
264658;2017-04-16;A. Datum Rangefinder Digital Camera X200 Pink;Loja Contoso Austin ;10;86
265480;2017-04-16;Contoso Home Theater System 2.1 Channel E1220 Black;Loja Contoso Austin ;5;86
265664;2017-04-16;Contoso Multi-Use Terminal Cable E308 White;Loja Contoso Austin ;5;86
265820;2017-04-16;The Phone Company PDA Palm 3.5 inch M810 Silver;Loja Contoso Austin ;10;86
265860;2017-04-16;Contoso SLR Camera X145 Pink;Loja Contoso Austin ;10;86
266015;2017-04-16;Contoso Home Theater System 5.1 Channel M1500 Black;Loja Contoso Austin ;10;86
266442;2017-04-17;Proseware All-In-One Photo Printer M200 Green;Loja Contoso Austin ;10;86
267070;2017-04-17;Contoso Rubberized Snap-On Cover Hard Case Cell Phone Protector E160 Silver;Loja Contoso Austin ;100;86
267245;2017-04-17;Contoso Mouse Lock Bundle E200 White;Loja Contoso Austin ;5;86
267505;2017-04-17;Fabrikam SLR Camera X150 Orange;Loja Contoso Austin ;10;86
267612;2017-04-17;Proseware All-In-One Photo Printer M200 White;Loja Contoso Austin ;10;86
268709;2017-04-17;Contoso Lens Cap Keeper E314 White;Loja Contoso Austin ;5;86
268726;2017-04-17;Contoso Digital Camera/Camcorder USB Cable E324 Black;Loja Contoso Austin ;5;86
268749;2017-04-17;Contoso USB Optical Mouse E200 White;Loja Contoso Austin ;5;86
268801;2017-04-17;SV 8xDVD E140 Black;Loja Contoso Austin ;5;86
269205;2017-04-17;Proseware Color Ink Jet Fax, Copier, Phone M250 Black;Loja Contoso Austin ;10;86
269290;2017-04-17;WWI Projector 480p DLP12 Black;Loja Contoso Austin ;10;86
269315;2017-04-17;"The Phone Company Touch Screen Phones 26-1.4"" M250 Grey";Loja Contoso Austin ;10;86
269474;2017-04-18;Litware Home Theater System 2.1 Channel E211 Silver;Loja Contoso Austin ;5;86
270326;2017-04-18;Contoso 4G MP3 Player E400 Silver;Loja Contoso Austin ;5;86
270374;2017-04-18;"Adventure Works 20"" CRT TV E15 Silver";Loja Contoso Austin ;5;86
270640;2017-04-18;Contoso Lifestyles Series - Big Button Cordless phone M800 White;Loja Contoso Austin ;10;86
270684;2017-04-18;Proseware 23ppm Laser Printer with Wireless and Wired Network Interfaces M680 Grey;Loja Contoso Austin ;10;86
270853;2017-04-18;A. Datum Consumer Digital Camera E100 Azure;Loja Contoso Austin ;10;86
270869;2017-04-18;"Contoso SLR Camera 35"" M358 Orange";Loja Contoso Austin ;10;86
271740;2017-04-18;Contoso Home Theater System 2.1 Channel E1200 Brown;Loja Contoso Austin ;5;86
271753;2017-04-18;Contoso 90W AC/DC Power Adapter E300 Black;Loja Contoso Austin ;5;86
272103;2017-04-18;Fabrikam Budget Moviemaker 1/3'' 8.5mm E200 Grey;Loja Contoso Austin ;10;86
272218;2017-04-18;A. Datum SLR Camera X135 Black;Loja Contoso Austin ;10;86
272671;2017-04-19;"Contoso SLR Camera 35"" M358 Orange";Loja Contoso Austin ;10;86
273270;2017-04-19;Proseware Screen 80in E1010 Silver;Loja Contoso Austin ;15;86
273354;2017-04-19;SV Car Video AM/FM E1000 Brown;Loja Contoso Austin ;5;86
273540;2017-04-19;Contoso USB Data Link - direct connect adapter E600 White;Loja Contoso Austin ;5;86
273708;2017-04-19;Contoso SLR Camera X144 Silver Grey;Loja Contoso Austin ;10;86
273884;2017-04-19;Fabrikam Trendsetter 1'' 25mm X400 Grey;Loja Contoso Austin ;10;86
273974;2017-04-19;Proseware Projector 1080p LCD86 White;Loja Contoso Austin ;10;86
274027;2017-04-19;"Fabrikam SLR Camera 35"" X358 Black";Loja Contoso Austin ;10;86
275210;2017-04-19;Fabrikam Business Videographer 1/2'' 3mm M500 Black;Loja Contoso Austin ;10;86
275518;2017-04-20;"Adventure Works 20"" CRT TV E15 Black";Loja Contoso Austin ;5;86
275772;2017-04-20;Contoso Projector 1080p X980 Silver;Loja Contoso Austin ;10;86
275803;2017-04-20;Fabrikam Laptop8.9 M0801 Silver;Loja Contoso Austin ;10;86
275866;2017-04-20;Adventure Works CRT17 E105 Black;Loja Contoso Austin ;5;86
276948;2017-04-20;Contoso DVD 48 DVD Storage Binder M50 Black;Loja Contoso Austin ;10;86
277195;2017-04-20;SV Car Video TFT7 M7002 Brown;Loja Contoso Austin ;10;86
278369;2017-04-20;Contoso Hybrid system M60 Black;Loja Contoso Austin ;10;86
278797;2017-04-21;A. Datum Advanced Digital Camera M300 Black;Loja Contoso Austin ;10;86
278875;2017-04-21;Contoso Dual USB Power Adapter - power adapter E300 Black;Loja Contoso Austin ;5;86
279852;2017-04-21;Contoso Digital camera accessory kit M200 Black;Loja Contoso Austin ;10;86
280073;2017-04-21;The Phone Company Smart phones Expert M400 Pink;Loja Contoso Austin ;10;86
280157;2017-04-21;Proseware Projector 480p LCD12 White;Loja Contoso Austin ;10;86
280186;2017-04-21;Contoso USB Cable M250 Black;Loja Contoso Austin ;10;86
280200;2017-04-21;Contoso Centrex Phone System L10 Grey;Loja Contoso Austin ;10;86
280765;2017-04-21;WWI Desktop PC1.80 E1801 Silver;Loja Contoso Austin ;15;86
281368;2017-04-21;Contoso Home Theater System 4.1 Channel M1420 White;Loja Contoso Austin ;10;86
282489;2017-04-22;WWI Desktop PC3.0 M0300 Black;Loja Contoso Austin ;30;86
282617;2017-04-22;Contoso 90W AC/DC Power Adapter E300 Grey;Loja Contoso Austin ;5;86
282733;2017-04-22;Contoso Phone with Memory Dialing-single line E88 White;Loja Contoso Austin ;5;86
282749;2017-04-22;SV 8xDVD E140 Silver;Loja Contoso Austin ;5;86
283047;2017-04-22;Proseware Ink Jet Instant PDF Sheet-Fed Scanner M300 Black;Loja Contoso Austin ;10;86
283072;2017-04-22;SV DVD 14-Inch Player Portable L100 Silver;Loja Contoso Austin ;10;86
285581;2017-04-23;WWI LCD17 E205 White;Loja Contoso Austin ;5;86
285753;2017-04-23;Contoso Laptop Cooling Hub notebook fan with 4 ports USB hub E80 Grey;Loja Contoso Austin ;5;86
285918;2017-04-23;Fabrikam SLR Camera X146 Black;Loja Contoso Austin ;10;86
285957;2017-04-23;Contoso Lifestyles Series - Big Button Cordless phone M800 Black;Loja Contoso Austin ;10;86
287152;2017-04-23;Contoso Carrying Case E312 Blue;Loja Contoso Austin ;5;86
287389;2017-04-23;The Phone Company PDA Palm 4.7 inch L850 Silver;Loja Contoso Austin ;10;86
287624;2017-04-23;A. Datum Full Frame Digital Camera X300 Silver Grey;Loja Contoso Austin ;10;86
288711;2017-04-24;Contoso Touch Screen Phones  - LCD M12 Black;Loja Contoso Austin ;5;86
288777;2017-04-24;NT Bluetooth Stereo Headphones E52 Blue;Loja Contoso Austin ;5;86
289080;2017-04-24;The Phone Company Touch Screen Phones 4-Wire/On-wall M302 Grey;Loja Contoso Austin ;10;86
289128;2017-04-24;Proseware All-In-One Photo Printer M200 Green;Loja Contoso Austin ;10;86
289332;2017-04-24;Contoso 4 Handset Cordless Phone System M86 Black;Loja Contoso Austin ;10;86
289349;2017-04-24;WWI Projector 720p DLP56 White;Loja Contoso Austin ;10;86
290017;2017-04-24;Adventure Works Desktop PC1.60 ED160 Black;Loja Contoso Austin ;15;86
290109;2017-04-24;Contoso Finger Touch Screen Phones M30 Black;Loja Contoso Austin ;5;86
291773;2017-04-25;Proseware Screen 100in M1609 White;Loja Contoso Austin ;5;86
291802;2017-04-25;"Fabrikam SLR Camera 35"" M358 Grey";Loja Contoso Austin ;5;86
292293;2017-04-25;Contoso Hybrid system M60 Grey;Loja Contoso Austin ;10;86
292358;2017-04-25;The Phone Company Smart phones Expert M400 Black;Loja Contoso Austin ;10;86
293111;2017-04-25;Adventure Works Desktop PC1.80 ED180 White;Loja Contoso Austin ;30;86
293210;2017-04-25;"Adventure Works 20"" CRT TV E15 Black";Loja Contoso Austin ;5;86
293222;2017-04-25;WWI Stereo Bluetooth Headphones E1000 White;Loja Contoso Austin ;5;86
293681;2017-04-25;A. Datum Consumer Digital Camera E100 Black;Loja Contoso Austin ;10;86
295109;2017-04-26;Contoso SLR Camera X144 Silver Grey;Loja Contoso Austin ;10;86
295301;2017-04-26;The Phone Company Smart phones Unlocked M300 Pink;Loja Contoso Austin ;10;86
296088;2017-04-26;WWI Desktop PC1.80 E1800 Silver;Loja Contoso Austin ;15;86
296252;2017-04-26;Proseware Laser Jet Printer E100 Grey;Loja Contoso Austin ;5;86
296305;2017-04-26;SV Car Video TFT6.2W E6280 Brown;Loja Contoso Austin ;5;86
296360;2017-04-26;Proseware CRT15 E10 White;Loja Contoso Austin ;5;86
296578;2017-04-26;Proseware Color Ink Jet Fax with 5.8 GHz Cordless Handset X250 White;Loja Contoso Austin ;10;86
296615;2017-04-26;Proseware Projector 1080p DLP86 White;Loja Contoso Austin ;10;86
296620;2017-04-26;Contoso Home Theater System 7.1 Channel M1700 Silver;Loja Contoso Austin ;10;86
296708;2017-04-26;Contoso DVD 60 DVD Storage Binder L20 Black;Loja Contoso Austin ;10;86
297119;2017-04-27;The Phone Company Pen Touch Screen Phones M320 Grey;Loja Contoso Austin ;10;86
297903;2017-04-27;A. Datum SLR Camera M140 Pink;Loja Contoso Austin ;5;86
298511;2017-04-27;WWI Projector 480p DLP12 Silver;Loja Contoso Austin ;10;86
298571;2017-04-27;SV DVD 14-Inch Player Portable L100 White;Loja Contoso Austin ;10;86
298648;2017-04-27;Contoso Mini Battery Charger Kit E320 White;Loja Contoso Austin ;5;86
299251;2017-04-27;Fabrikam Social Videographer 1/3'' 8.5mm E200 Black;Loja Contoso Austin ;5;86
299348;2017-04-27;SV 512MB Laptop memory E800 Black;Loja Contoso Austin ;5;86
299782;2017-04-27;"A. Datum SLR Camera 35"" X358 Grey";Loja Contoso Austin ;10;86
300124;2017-04-28;Contoso 4 Handset Cordless Phone System M86 White;Loja Contoso Austin ;10;86
301340;2017-04-28;SV DVD 15-Inch Player Portable L200 White;Loja Contoso Austin ;10;86
302254;2017-04-28;Contoso Home Theater System 2.1 Channel E1200 Silver;Loja Contoso Austin ;5;86
302269;2017-04-28;Contoso Cables To Go USB 2.0 Hard Drive Enclosure E920 White;Loja Contoso Austin ;5;86
302304;2017-04-28;NT Bluetooth Stereo Headphones E52 Yellow;Loja Contoso Austin ;5;86
302730;2017-04-28;"The Phone Company Pen Touch Screen Phones-2.6"" M320 Black";Loja Contoso Austin ;10;86
302746;2017-04-28;The Phone Company Smart phones Unlocked M300 Black;Loja Contoso Austin ;10;86
302790;2017-04-28;Proseware Photo Ink Jet Printer M100 Black;Loja Contoso Austin ;10;86
303030;2017-04-29;Contoso Home Theater System 2.1 Channel E1200 Brown;Loja Contoso Austin ;5;86
303892;2017-04-29;SV DVD 7-Inch Player Portable E200 White;Loja Contoso Austin ;5;86
303966;2017-04-29;Contoso Lens Cap Keeper E314 White;Loja Contoso Austin ;5;86
304311;2017-04-29;Proseware Scan Jet Digital Flat Bed Scanner M300 Black;Loja Contoso Austin ;10;86
304352;2017-04-29;Proseware Ink Jet Instant PDF Sheet-Fed Scanner M300 Black;Loja Contoso Austin ;10;86
304527;2017-04-29;The Phone Company Pen Touch Screen Phones M320 Grey;Loja Contoso Austin ;10;86
305789;2017-04-29;SV DVD 55DVD Storage Binder M56 Silver;Loja Contoso Austin ;10;86
305964;2017-04-30;Contoso DVD 48 DVD Storage Binder M50 Silver;Loja Contoso Austin ;10;86
306212;2017-04-30;A. Datum Consumer Digital Camera M300 Green;Loja Contoso Austin ;10;86
306273;2017-04-30;Contoso Cables To Go USB 2.0 Hard Drive Enclosure E920 Grey;Loja Contoso Austin ;5;86
306275;2017-04-30;Contoso Mouse Lock Bundle E200 White;Loja Contoso Austin ;5;86
306278;2017-04-30;Contoso Bright Light battery E20 White;Loja Contoso Austin ;5;86
306313;2017-04-30;"Adventure Works 19"" Portable LCD HDTV M110 Silver";Loja Contoso Austin ;20;86
307661;2017-04-30;Contoso Home Theater System 2.1 Channel M1210 Silver;Loja Contoso Austin ;20;86
307665;2017-04-30;SV DVD 38 DVD Storage Binder E25 Silver;Loja Contoso Austin ;5;86
308316;2017-04-30;SV Car Video AM/FM E1000 Brown;Loja Contoso Austin ;5;86
308518;2017-04-30;Adventure Works CRT15 E101 White;Loja Contoso Austin ;5;86
309335;2017-05-01;Contoso SLR Camera X145 Blue;Loja Contoso Austin ;10;86
309372;2017-05-01;The Phone Company Smart phones without camera E100 White;Loja Contoso Austin ;5;86
309397;2017-05-01;Contoso USB Data Link-direct connect adapter E600 Black;Loja Contoso Austin ;5;86
309796;2017-05-01;A. Datum Ultra Compact Digital Camera M190 Black;Loja Contoso Austin ;5;86
309893;2017-05-01;Contoso Optical Wheel OEM PS/2 Mouse E60 Black;Loja Contoso Austin ;5;86
311640;2017-05-01;Fabrikam Trendsetter 2/3'' 17mm X100 Black;Loja Contoso Austin ;10;86
311845;2017-05-01;A. Datum Consumer Digital Camera E100 Black;Loja Contoso Austin ;10;86
311978;2017-05-01;Contoso Home Theater System 4.1 Channel M1410 Black;Loja Contoso Austin ;10;86
312761;2017-05-02;SV Car Video AM/FM E1000 Silver;Loja Contoso Austin ;5;86
312842;2017-05-02;Proseware Fax Machine E100 Black;Loja Contoso Austin ;5;86
314108;2017-05-02;Adventure Works Desktop PC1.80 ED180 White;Loja Contoso Austin ;30;86
314320;2017-05-02;SV 40GB USB2.0 Portable Hard Disk E400 Red;Loja Contoso Austin ;5;86
314384;2017-05-02;Litware Home Theater System 2.1 Channel E211 Silver;Loja Contoso Austin ;5;86
314406;2017-05-02;SV Car Video TFT6.2W E6281 Black;Loja Contoso Austin ;5;86
314418;2017-05-02;Contoso Ultraportable Neoprene Sleeve E30 Yellow;Loja Contoso Austin ;5;86
314424;2017-05-02;Fabrikam Social Videographer 1/3'' 8.5mm E200 White;Loja Contoso Austin ;5;86
315689;2017-05-03;WWI Desktop PC1.60 E1600 Black;Loja Contoso Austin ;15;86
316010;2017-05-03;Proseware Ink Jet Fax Machine E100 Black;Loja Contoso Austin ;5;86
316591;2017-05-03;Adventure Works Laptop12 M1200 Black;Loja Contoso Austin ;10;86
316667;2017-05-03;A. Datum Super-zoom Digital Camera X300 Orange;Loja Contoso Austin ;10;86
317196;2017-05-03;Contoso Single-line phones E10 White;Loja Contoso Austin ;5;86
317327;2017-05-03;SV Keyboard E90 Silver;Loja Contoso Austin ;5;86
317592;2017-05-03;SV DVD 15-Inch Player Portable L200 Silver;Loja Contoso Austin ;10;86
317612;2017-05-03;Fabrikam SLR Camera X146 Black;Loja Contoso Austin ;10;86
317627;2017-05-03;Contoso 4-Line Expandable Cordless Phone System M900 White;Loja Contoso Austin ;10;86
317762;2017-05-03;Contoso Enhanced Capacity Battery M800 Grey;Loja Contoso Austin ;10;86
317824;2017-05-03;Contoso Behind Centrex X15 White;Loja Contoso Austin ;10;86
318012;2017-05-03;A. Datum All in One Digital Camera M200 Orange;Loja Contoso Austin ;10;86
318188;2017-05-04;Contoso Rechargeable Battery E100 Black;Loja Contoso Austin ;5;86
319383;2017-05-04;SV Car Video TFT7 M7002 Brown;Loja Contoso Austin ;10;86
320155;2017-05-04;The Phone Company Smart phones without camera E100 Gold;Loja Contoso Austin ;5;86
320267;2017-05-04;"Adventure Works 20"" CRT TV E15 Black";Loja Contoso Austin ;5;86
320380;2017-05-04;Proseware Laser Fax Printer E100 Black;Loja Contoso Austin ;5;86
320600;2017-05-04;"Fabrikam Independent Filmmaker 1"" 25mm X400 Blue";Loja Contoso Austin ;10;86
320656;2017-05-04;Fabrikam Business Videographer 2/3'' 17mm M280 Black;Loja Contoso Austin ;10;86
320821;2017-05-04;Contoso Phone with 13-Number Memory (210) M301 White;Loja Contoso Austin ;10;86
321055;2017-05-04;WWI Projector 720p DLP56 Silver;Loja Contoso Austin ;10;86
321351;2017-05-05;A. Datum Bridge Digital Camera M300 Pink;Loja Contoso Austin ;10;86
322464;2017-05-05;Contoso Enhanced Capacity Battery M800 Grey;Loja Contoso Austin ;10;86
322721;2017-05-05;Contoso Projector 480p M480 Silver;Loja Contoso Austin ;10;86
322733;2017-05-05;"The Phone Company Touch Screen Phones 26-1.4"" M250 Black";Loja Contoso Austin ;10;86
323680;2017-05-05;Contoso Lifestyles Series - Big Button Cordless phone M800 Black;Loja Contoso Austin ;10;86
323928;2017-05-05;Contoso DVD 60 DVD Storage Binder L20 Silver;Loja Contoso Austin ;10;86
323947;2017-05-05;"Contoso SLR Camera 35"" X358 Orange";Loja Contoso Austin ;10;86
323950;2017-05-05;SV DVD 58 DVD Storage Binder M55 Silver;Loja Contoso Austin ;10;86
324679;2017-05-06;Contoso Rubberized Skin BlackBerry E100 Silver;Loja Contoso Austin ;100;86
325316;2017-05-06;Fabrikam Business Videographer 1/3'' 8.5mm M380 Grey;Loja Contoso Austin ;10;86
325475;2017-05-06;"Adventure Works 20"" LCD HDTV M120 Silver";Loja Contoso Austin ;10;86
325576;2017-05-06;A. Datum Consumer Digital Camera E100 Azure;Loja Contoso Austin ;10;86
325697;2017-05-06;Contoso Home Theater System 4.1 Channel M1410 Black;Loja Contoso Austin ;10;86
326682;2017-05-06;Contoso In front of Centrex L15 White;Loja Contoso Austin ;10;86
326692;2017-05-06;Contoso Digital camera accessory kit M200 White;Loja Contoso Austin ;10;86
326741;2017-05-06;Fabrikam Budget Moviemaker 1'' 25mm E400 Grey;Loja Contoso Austin ;10;86
326792;2017-05-06;Contoso Home Theater System 4.1 Channel M1400 Silver;Loja Contoso Austin ;10;86
328037;2017-05-07;"Adventure Works 13"" Color TV E25 Black";Loja Contoso Austin ;5;86
328069;2017-05-07;Proseware CRT15 E10 Black;Loja Contoso Austin ;5;86
328250;2017-05-07;Fabrikam SLR Camera X150 Green;Loja Contoso Austin ;10;86
329301;2017-05-07;Contoso Rechargeable Battery E100 Black;Loja Contoso Austin ;5;86
329779;2017-05-07;Proseware Color Ink Jet Fax with 5.8 GHz Cordless Handset X250 White;Loja Contoso Austin ;10;86
329848;2017-05-07;The Phone Company Touch Screen Phones 5-Wire/On-wall M508 Black;Loja Contoso Austin ;10;86
329883;2017-05-07;Contoso USB Cable M250 Blue;Loja Contoso Austin ;10;86
329911;2017-05-07;Contoso DVD 9-Inch Player Portable M300 Silver;Loja Contoso Austin ;10;86
330810;2017-05-08;Proseware LCD17 E200 Black;Loja Contoso Austin ;5;86
330879;2017-05-08;Litware Home Theater System 2.1 Channel E210 Black;Loja Contoso Austin ;5;86
331281;2017-05-08;The Phone Company PDA Phone 4.7 inches L360 White;Loja Contoso Austin ;10;86
331471;2017-05-08;SV Car Video LCD7 M7003 Black;Loja Contoso Austin ;10;86
331607;2017-05-08;The Phone Company Smart phones Unlocked International M800 White;Loja Contoso Austin ;10;86
332879;2017-05-08;Contoso DVD 12-Inch Player Portable M400 Black;Loja Contoso Austin ;10;86
332895;2017-05-08;Contoso DVD 58 DVD Storage Binder M55 Black;Loja Contoso Austin ;10;86
332897;2017-05-08;Contoso DVD 58 DVD Storage Binder M55 Silver;Loja Contoso Austin ;10;86
333014;2017-05-08;Proseware Laser Jet All in one X300 Grey;Loja Contoso Austin ;10;86
333076;2017-05-08;SV Car Video LCD7W M7082 Silver;Loja Contoso Austin ;10;86
333093;2017-05-09;Litware Home Theater System 5.1 Channel M513 Silver;Loja Contoso Austin ;10;86
333097;2017-05-09;Contoso Education Essentials Bundle M300 White;Loja Contoso Austin ;10;86
333195;2017-05-09;"Adventure Works 20"" Analog CRT TV E45 Black";Loja Contoso Austin ;5;86
333325;2017-05-09;The Phone Company Smart phones Unlocked International M800 Grey;Loja Contoso Austin ;10;86
333354;2017-05-09;Contoso 4 Handset Cordless Phone System M86 Black;Loja Contoso Austin ;10;86
333407;2017-05-09;Contoso SLR Camera X143 Grey;Loja Contoso Austin ;10;86
333438;2017-05-09;The Phone Company PDA GPS Phone 3.5 inch M910 Silver;Loja Contoso Austin ;20;86
335711;2017-05-09;Fabrikam Home and Vacation Moviemaker 1'' 25mm M400 Grey;Loja Contoso Austin ;10;86
336305;2017-05-10;SV Car Video TFT7 M7002 Black;Loja Contoso Austin ;10;86
337405;2017-05-10;Proseware Office Jet All-in-One Printer M500 Grey;Loja Contoso Austin ;10;86
337650;2017-05-10;Contoso 2-Line Speakerphone M109 Grey;Loja Contoso Austin ;10;86
337682;2017-05-10;Proseware Ink Jet Wireless All-In-One Printer M400 Black;Loja Contoso Austin ;10;86
338146;2017-05-10;WWI Desktop PC1.80 E1801 Black;Loja Contoso Austin ;15;86
338270;2017-05-10;SV Car Video AM/FM E1000 Black;Loja Contoso Austin ;5;86
